"","measurementTerm","n"
"1","ReachLen",20413
"2","BFWidth",20402
"3","Grad",20008
"4","Sin",15676
"5","AvgBFWDRatio",14888
"6","BFHeight",12993
"7","WetWidth",10808
"8","PctStab",9850
"9","D50",9201
"10","PctPool",9176
"11","RPD",8739
"12","BankAngle",8579
"13","PctFines2",8050
"14","MeanThalwegDepth",6683
"15","PctDry",5582
"16","PctBdrk",5433
"17","TotalPhosphorous",4606
"18","StreamOrder",2794
"19","Beaver",2757
"20","pH",2720
"21","D16",2394
"22","D84",2394
"23","PctFines6",2392
"24","TotalNitrogen",2345
"25","SpecificConductance",2290
"26","PoolTailFines2",2000
"27","Turbidity",488
"28","PoolTailFines6",193
