"Category","LongName","Field","DataType","AREMPField","BLMField","EPA2008Field","EPA2004Field","PIBOField","SubsetOfMetrics","InDES"
"Darwin Core","type","type","Text",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","modified","modified","Date",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","rightsHolder","rightsHolder","Text",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","bibilographicCititation","bibilographicCititation","Character",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","InstitutionID","InstitutionID","Text",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","CollectionID","CollectionID","Character",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","datasetID","datasetID","Integer (need to check this)",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","Dataset Name","datasetName","Text",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core","Institution Code","institutionCode","Character",NA,NA,NA,NA,NA,NA,"x"
"Location","From the Dataset Location Identification","verbatimLocation","Character","site_survey_id","UID","UID",NA,"RchID",NA,"x"
"Location","Location Identification","locationID","Text",NA,NA,NA,NA,NA,NA,"x"
"Location","From the Data Set Latitude","verbatimLatitude","Double","lattitude","BTMLAT","LAT_DD83","LAT_DD","Lat",NA,"x"
"Location","From the dataset Longitude","verbatimLongitude","Double","longitude","BTMLONG","LON_DD83","LON_DD","Long",NA,"x"
"Location","Stream Name From the Dataset","verbatimWaterbody","Character",NA,"STRM_NM",NA,"SITENAME","Stream",NA,"x"
"Location","From the DatasetCoordinateSystem","verbatimCoordinateSystem",NA,NA,NA,NA,NA,NA,NA,"x"
"Location","State From the Dataset","StateProvince","Text","STATES","ADMIN_ST","STATE","STATE","State",NA,"x"
"Location","Standard Latitude","decimalLatitude",NA,NA,NA,NA,NA,NA,NA,"x"
"Location","Standard Longitude","decimalLongitude",NA,NA,NA,NA,NA,NA,NA,"x"
"Location","geodeticDatum","geodeticDatum",NA,NA,NA,NA,NA,NA,NA,"x"
"Darwin Core - Event","Event Identification","eventID","Character",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core - Event","Site Identification","verbatimlocationID","Character","GLOBALID","MS_CD","SITE_ID","SITE_ID","SiteID",NA,"x"
"Darwin Core - Event","Sample Year","Year","Integer","survey_year",NA,"YEAR","YEAR","Yr",NA,"x"
"Darwin Core - Event","Time","Time","Date",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core - Event","Sample Date","verbatimEventDate","Date",NA,"DT","DATE_COL",NA,NA,NA,"x"
"Darwin Core - Event","Sampling Protocol","samplingProtocol","Integer",NA,"PRTCL",NA,NA,NA,NA,"x"
"Darwin Core - Event","Field Status Notes","fieldNotes","Text",NA,NA,NA,NA,NA,NA,"x"
"Darwin Core - Event","Standardized Date","Date","Date",NA,NA,NA,NA,NA,NA,"x"
"Channel dimensions","Average bankfull width from transects","BFWidth","Double","average_bfwidth","BNKFLL_WT","XBKF_W","XBKF_W","Bf","x",NA
"Channel dimensions","Gradient of stream reach","Grad","Double","gradient","SLPE","XSLOPE","XSLOPE","Grad","x",NA
"Channel dimensions","Length of sampling reach","RchLen","Double","REACH_LENGTH","TOT_RCH_LEN","REACHLEN","REACHLEN","RchLen","x",NA
"Channel dimensions","Bankfull width-to-depth ratio at transects","BFWDRatio","Double",NA,NA,"BFWD_RAT","BFWD_RAT","WDTrans","x",NA
"Channel dimensions","Bankfull Height","BFHeight","Double","average_bfdepth","BNKFLL_HT","XBKF_H","XBKF_H",NA,"x",NA
"Channel dimensions","Average wetted width from transects","WetWidth","Double",NA,"WTTD_WT","XWIDTH","XWIDTH",NA,"x",NA
"Channel dimensions","Wetted width-to-depth ratio at transects","WetWidthToDepth","Double",NA,NA,"XWD_RAT","XWD_RAT","WDWetTrans","x",NA
"Pools","Residual pool depth","RPD","Double",NA,"RES_PL_DEP","RP100","RP100","PoolDp","x",NA
"Pools","Percent pools","PctPool","Double",NA,"PCT_PL","PCT_POOL","PCT_POOL","PoolPct","x",NA
"Channel Characteristics","Percent of Reach that is Dry","PctDry","Double",NA,"PCT_DRY","PCT_DRS","PCT_DRS",NA,"x",NA
"Channel Characteristics","Stream Order","StreamOrder","Double",NA,"STRM_ORDR","STRAHLERORDER",NA,NA,"x",NA
"Substrate","Diameter of the 50th percentile streambed particle","D50","Double","substrate","D50",NA,NA,"D50","x",NA
"Substrate","Percent of streambed particles <2mm","PctFines2","Double",NA,"PCT_FN","PCT_SAFN","PCT_SAFN",NA,"x",NA
"Substrate","Percent of streambed particles <6mm","PctFines6","Double",NA,"PCT_FN6","PCT_FN","PCT_FN",NA,"x",NA
"Wood","Large wood frequency","LWDFreq","Double",NA,"LWD_FREQ","C1WM100",NA,"LWFrq","x",NA
"Wood","Large wood volume","LWDVol","Double",NA,"LWD_VL","V1WM100","V1W_MSQ","LWVol","x",NA
"Macroinvertebrates","O/E Macroinvertebrate Index","OEratio","Double",NA,"OE_MACROINVRTBRTE","OE_SCORE",NA,NA,"x",NA
"Macroinvertebrates","Multimetric Macroinvertebrate Index","MMI","Double",NA,"MMI_MACROINVRTBRTE","BENT_MMI_COND",NA,NA,"x",NA
